Model,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5
claude-3-5-sonnet-20240620,1.18694362,0.890207715,0.296735905,0.296735905,1.18694362
gemini-1.5-pro,1.18694362,2.077151335,1.18694362,0.59347181,1.483679525
gpt-3.5-turbo,3.560830861,1.18694362,1.78041543,0,4.154302671
gpt-4o,0.59347181,0.59347181,0,0.59347181,2.37388724
meta/meta-llama-3-70b,2.670623145,1.18694362,1.088031652,0.989119683,0.692383778
meta/meta-llama-3-70b-instruct,0,0.296735905,0,0,0
meta/meta-llama-3-8b-instruct,2.274975272,0.791295747,0.445103858,0.59347181,2.225519288
 meta/meta-llama-3.1-405b-instruct,0,0,0.296735905,0.59347181,0
mistralai/mixtral-8x7b-instruct-v0.1,4.451038576,3.857566766,2.37388724,1.483679525,4.451038576
o1-preview,0,0.59347181,0.59347181,0.296735905,1.483679525